newid,topics,primary_topic,word_count,char_count
272,alum,alum,114,652
273,crude,crude,407,2243
274,veg-oil;palm-oil,veg-oil,195,1013
275,tea;cocoa;coffee,tea,405,2172
276,,NO_TOPIC,421,2593
277,,NO_TOPIC,100,524
278,,NO_TOPIC,550,3127
279,earn,earn,156,919
280,,NO_TOPIC,87,469
281,ship,ship,127,668
282,,NO_TOPIC,194,1127
283,reserves,reserves,13,82
284,reserves,reserves,102,566
285,,NO_TOPIC,91,533
286,,NO_TOPIC,97,607
287,,NO_TOPIC,102,537
288,,NO_TOPIC,424,2433
289,,NO_TOPIC,89,484
290,coffee,coffee,101,605
291,,NO_TOPIC,86,478
292,,NO_TOPIC,147,820
293,sugar,sugar,123,656
294,,NO_TOPIC,77,459
295,,NO_TOPIC,488,3135
296,money-fx;interest,money-fx,95,525
297,oilseed;soybean,oilseed,188,1077
298,acq,acq,15,65
299,earn,earn,73,346
300,,NO_TOPIC,330,2063
301,,NO_TOPIC,91,490
302,acq,acq,428,2458
303,oilseed;soybean;meal-feed;soy-meal,oilseed,258,1388
304,acq,acq,193,1023
305,,NO_TOPIC,266,1442
306,,NO_TOPIC,359,2206
307,money-fx;interest,money-fx,94,532
308,,NO_TOPIC,455,2805
309,gold;platinum;strategic-metal,gold,212,1253
310,meal-feed;tapioca,meal-feed,98,556
311,tin,tin,780,4448
312,trade;bop,trade,106,618
313,oilseed;sunseed;soybean;rapeseed;veg-oil;soy-oil;palm-oil;groundnut-oil,oilseed,321,1607
314,gold,gold,103,606
315,acq,acq,94,468
316,,NO_TOPIC,497,2898
317,earn,earn,209,1207
318,,NO_TOPIC,88,537
319,,NO_TOPIC,553,3270
320,veg-oil;rape-oil;palm-oil,veg-oil,113,649
321,,NO_TOPIC,81,492
322,interest,interest,223,1260
323,reserves,reserves,125,684
324,,NO_TOPIC,183,1162
325,,NO_TOPIC,175,893
326,,NO_TOPIC,82,488
327,meal-feed;soy-meal;tapioca;grain;corn;cornglutenfeed;citruspulp;oilseed;rapeseed;rape-meal,meal-feed,311,1564
328,,NO_TOPIC,90,586
329,,NO_TOPIC,158,839
330,money-supply,money-supply,274,1434
331,acq,acq,341,1872
332,veg-oil;palm-oil,veg-oil,32,191
333,,NO_TOPIC,83,502
334,acq,acq,113,628
335,,NO_TOPIC,822,4863
336,money-fx;interest,money-fx,38,206
337,,NO_TOPIC,147,838
338,trade,trade,86,531
339,,NO_TOPIC,364,2116
340,,NO_TOPIC,858,5142
341,money-fx;interest,money-fx,82,421
342,trade,trade,594,3630
343,sugar,sugar,32,181
344,,NO_TOPIC,294,1582
345,earn,earn,98,602
346,strategic-metal,strategic-metal,201,1180
347,,NO_TOPIC,354,2141
348,,NO_TOPIC,196,1216
349,crude,crude,102,634
350,,NO_TOPIC,522,2960
351,,NO_TOPIC,87,569
352,crude,crude,115,662
353,crude,crude,113,627
354,trade,trade,268,1559
355,,NO_TOPIC,195,1183
356,earn,earn,465,2706
357,,NO_TOPIC,162,919
358,,NO_TOPIC,294,1777
359,,NO_TOPIC,467,2800
360,,NO_TOPIC,98,613
361,acq,acq,108,641
362,acq,acq,569,3490
363,,NO_TOPIC,89,592
364,,NO_TOPIC,304,1830
365,,NO_TOPIC,113,637
366,acq,acq,157,894
367,,NO_TOPIC,514,3042
368,crude;ship,crude,116,657
369,acq,acq,113,671
370,,NO_TOPIC,307,1801
371,acq,acq,116,726
372,acq,acq,540,3096
373,,NO_TOPIC,28,177
374,cotton,cotton,169,926
375,,NO_TOPIC,206,1245
376,acq,acq,37,259
377,alum,alum,108,647
378,earn,earn,63,311
379,acq,acq,61,360
380,,NO_TOPIC,117,637
381,earn,earn,105,610
382,,NO_TOPIC,629,3648
383,acq,acq,10,61
384,,NO_TOPIC,90,573
385,,NO_TOPIC,127,787
386,,NO_TOPIC,659,3867
387,acq,acq,91,480
388,earn,earn,68,332
389,acq,acq,123,678
390,earn,earn,277,1558
391,,NO_TOPIC,160,913
392,earn,earn,11,48
393,acq,acq,263,1485
394,,NO_TOPIC,101,541
395,grain;wheat;corn;barley,grain,98,562
396,earn,earn,16,86
397,,NO_TOPIC,178,1119
398,acq,acq,10,65
399,earn,earn,75,275
400,acq,acq,12,71
401,acq,acq,144,808
402,coffee,coffee,106,652
403,,NO_TOPIC,69,439
404,earn,earn,52,309
405,earn,earn,35,216
406,earn,earn,33,187
407,earn,earn,36,220
408,acq,acq,188,1065
409,earn,earn,93,524
410,earn,earn,27,142
411,money-fx;interest,money-fx,172,901
412,,NO_TOPIC,67,455
413,,NO_TOPIC,59,369
414,,NO_TOPIC,119,629
415,,NO_TOPIC,72,377
416,reserves,reserves,109,641
417,grain;oat,grain,0,0
418,acq,acq,15,85
419,,NO_TOPIC,780,4631
420,earn,earn,88,453
421,,NO_TOPIC,119,629
422,earn,earn,168,750
423,earn,earn,23,118
424,acq,acq,117,658
425,grain;wheat;wool;dlr,grain,98,576
426,,NO_TOPIC,43,260
427,,NO_TOPIC,72,377
428,,NO_TOPIC,133,795
429,,NO_TOPIC,130,734
430,,NO_TOPIC,16,74
431,,NO_TOPIC,18,77
432,,NO_TOPIC,365,1914
433,,NO_TOPIC,16,66
434,,NO_TOPIC,250,1353
435,earn,earn,192,1166
436,acq,acq,82,490
437,,NO_TOPIC,153,876
438,earn,earn,43,202
439,earn,earn,43,202
440,acq,acq,13,77
441,acq,acq,151,839
442,acq,acq,74,473
443,livestock;l-cattle,livestock,115,708
444,retail,retail,97,468
445,,NO_TOPIC,16,94
446,,NO_TOPIC,103,543
447,acq,acq,66,401
448,gold;acq;platinum,gold,296,1626
449,earn,earn,117,512
450,ipi,ipi,87,489
451,,NO_TOPIC,80,465
452,,NO_TOPIC,52,317
453,,NO_TOPIC,93,496
454,,NO_TOPIC,223,1266
455,earn,earn,10,39
456,earn,earn,68,265
457,,NO_TOPIC,94,568
458,,NO_TOPIC,394,2437
459,crude,crude,17,86
460,,NO_TOPIC,89,475
461,earn,earn,21,115
462,,NO_TOPIC,168,915
463,,NO_TOPIC,145,881
464,earn,earn,34,185
465,,NO_TOPIC,69,402
466,earn,earn,52,189
467,acq,acq,57,335
468,,NO_TOPIC,85,468
469,,NO_TOPIC,87,559
470,earn,earn,29,154
471,,NO_TOPIC,101,569
472,,NO_TOPIC,82,502
473,earn;acq,earn,186,1047
474,acq,acq,93,548
475,money-fx;interest,money-fx,107,622
476,,NO_TOPIC,68,414
477,,NO_TOPIC,74,419
478,acq,acq,99,579
479,,NO_TOPIC,88,524
480,earn,earn,75,377
481,,NO_TOPIC,159,881
482,,NO_TOPIC,105,692
483,earn,earn,56,197
484,earn,earn,48,211
485,,NO_TOPIC,95,470
486,oilseed,oilseed,62,367
487,,NO_TOPIC,81,536
488,gold;silver,gold,105,575
489,crude,crude,159,905
490,earn,earn,131,615
491,,NO_TOPIC,92,515
492,,NO_TOPIC,92,572
493,,NO_TOPIC,95,594
494,earn,earn,55,244
495,,NO_TOPIC,92,516
496,acq,acq,523,3002
497,acq,acq,77,538
498,acq,acq,58,376
499,,NO_TOPIC,64,385
500,,NO_TOPIC,108,609
501,grain;corn;wheat;barley,grain,228,1311
502,crude,crude,210,1187
503,,NO_TOPIC,117,729
504,acq,acq,188,1097
505,acq,acq,114,674
506,earn,earn,20,103
507,,NO_TOPIC,104,626
508,earn,earn,24,120
509,earn,earn,24,115
510,,NO_TOPIC,92,525
511,crude,crude,14,75
512,earn,earn,24,118
513,earn,earn,25,119
514,earn,earn,22,120
515,,NO_TOPIC,139,786
516,grain;corn,grain,148,851
517,earn,earn,21,110
518,ship,ship,151,888
519,money-fx;interest,money-fx,10,54
520,,NO_TOPIC,46,244
521,earn,earn,21,102
522,money-fx;interest,money-fx,57,342
523,,NO_TOPIC,115,632
524,earn,earn,112,623
525,iron-steel,iron-steel,311,1879
526,,NO_TOPIC,101,615
527,,NO_TOPIC,46,286
528,earn,earn,53,196
529,earn,earn,20,106
530,earn,earn,137,592
531,earn,earn,28,162
532,acq,acq,69,382
533,earn,earn,55,205
534,earn,earn,42,168
535,earn,earn,50,205
536,earn,earn,20,102
537,,NO_TOPIC,79,450
538,earn,earn,106,466
539,earn,earn,30,142
540,,NO_TOPIC,561,3354
541,earn,earn,54,287
542,,NO_TOPIC,46,294
543,crude,crude,99,501
544,nat-gas,nat-gas,105,627
545,acq,acq,266,1506
546,earn,earn,23,118
547,acq,acq,94,505
548,earn,earn,23,115
549,,NO_TOPIC,164,965
550,acq,acq,127,757
551,acq,acq,135,781
552,earn,earn,56,314
553,acq,acq,66,418
554,earn,earn,20,104
555,earn,earn,75,416
556,,NO_TOPIC,91,556
557,earn,earn,119,468
558,acq,acq,39,240
559,acq,acq,74,438
560,earn,earn,55,201
561,,NO_TOPIC,93,574
562,coffee,coffee,166,1040
563,,NO_TOPIC,300,1758
564,,NO_TOPIC,176,1178
565,,NO_TOPIC,67,447
566,,NO_TOPIC,93,576
567,,NO_TOPIC,203,1293
568,,NO_TOPIC,122,720
569,,NO_TOPIC,80,371
570,,NO_TOPIC,220,1245
571,,NO_TOPIC,9,50
572,,NO_TOPIC,57,222
573,,NO_TOPIC,96,405
574,,NO_TOPIC,90,596
575,,NO_TOPIC,21,110
576,,NO_TOPIC,60,321
577,,NO_TOPIC,95,543
578,,NO_TOPIC,40,248
579,,NO_TOPIC,50,206
580,,NO_TOPIC,31,129
581,,NO_TOPIC,93,437
582,,NO_TOPIC,203,1293
583,,NO_TOPIC,86,577
584,,NO_TOPIC,56,333
585,,NO_TOPIC,76,455
586,,NO_TOPIC,51,197
587,,NO_TOPIC,66,439
588,,NO_TOPIC,53,258
589,,NO_TOPIC,64,433
590,,NO_TOPIC,63,385
591,,NO_TOPIC,68,388
592,,NO_TOPIC,66,248
593,,NO_TOPIC,17,86
594,,NO_TOPIC,56,212
595,,NO_TOPIC,90,532
596,,NO_TOPIC,95,390
597,,NO_TOPIC,231,1349
598,,NO_TOPIC,65,240
599,,NO_TOPIC,82,481
600,,NO_TOPIC,16,83
601,,NO_TOPIC,52,203
602,,NO_TOPIC,177,1068
603,,NO_TOPIC,106,493
604,,NO_TOPIC,64,413
605,,NO_TOPIC,57,247
606,,NO_TOPIC,51,211
607,,NO_TOPIC,17,92
608,,NO_TOPIC,12,62
609,,NO_TOPIC,98,550
610,,NO_TOPIC,53,192
611,,NO_TOPIC,0,0
612,,NO_TOPIC,94,484
613,,NO_TOPIC,107,570
614,,NO_TOPIC,55,255
615,,NO_TOPIC,63,307
616,,NO_TOPIC,63,344
617,,NO_TOPIC,92,396
618,,NO_TOPIC,109,627
619,,NO_TOPIC,84,330
620,,NO_TOPIC,65,240
621,,NO_TOPIC,78,327
622,,NO_TOPIC,100,618
623,,NO_TOPIC,84,518
624,,NO_TOPIC,63,290
625,,NO_TOPIC,14,72
626,,NO_TOPIC,110,602
627,,NO_TOPIC,300,1770
628,,NO_TOPIC,117,685
629,,NO_TOPIC,198,1142
630,,NO_TOPIC,110,605
631,,NO_TOPIC,106,612
632,,NO_TOPIC,13,79
633,,NO_TOPIC,122,655
634,,NO_TOPIC,404,2369
635,,NO_TOPIC,706,4305
636,,NO_TOPIC,4,33
637,,NO_TOPIC,373,2113
638,,NO_TOPIC,30,119
639,,NO_TOPIC,81,489
640,,NO_TOPIC,106,516
641,,NO_TOPIC,64,416
642,,NO_TOPIC,66,255
643,,NO_TOPIC,63,407
644,,NO_TOPIC,270,1281
645,,NO_TOPIC,111,649
646,,NO_TOPIC,101,429
647,,NO_TOPIC,38,230
648,,NO_TOPIC,13,73
649,,NO_TOPIC,47,217
650,,NO_TOPIC,97,552
651,,NO_TOPIC,119,654
652,,NO_TOPIC,195,908
653,,NO_TOPIC,66,410
654,,NO_TOPIC,282,1631
655,,NO_TOPIC,41,238
656,,NO_TOPIC,138,808
657,,NO_TOPIC,182,1016
658,,NO_TOPIC,46,280
659,,NO_TOPIC,220,1332
660,,NO_TOPIC,383,2261
661,,NO_TOPIC,70,417
662,,NO_TOPIC,61,397
663,,NO_TOPIC,14,76
664,,NO_TOPIC,42,233
665,,NO_TOPIC,16,101
666,,NO_TOPIC,65,391
667,,NO_TOPIC,69,443
668,,NO_TOPIC,214,1309
669,,NO_TOPIC,154,953
670,,NO_TOPIC,62,299
671,,NO_TOPIC,372,2100
672,,NO_TOPIC,245,1413
673,,NO_TOPIC,0,0
674,,NO_TOPIC,247,1542
675,,NO_TOPIC,12,60
676,,NO_TOPIC,41,238
677,ship,ship,237,1439
678,,NO_TOPIC,115,608
679,acq,acq,65,387
680,earn,earn,101,460
681,,NO_TOPIC,126,727
682,acq,acq,75,418
683,,NO_TOPIC,72,416
684,sugar,sugar,187,1136
685,rubber,rubber,222,1352
686,earn,earn,41,194
687,earn,earn,42,268
688,tin,tin,139,814
689,earn,earn,6,37
690,earn,earn,30,153
691,earn,earn,30,164
692,earn,earn,30,162
693,earn,earn,30,172
694,oilseed;grain;soybean;wheat;corn,oilseed,16,82
695,earn,earn,31,167
696,earn,earn,222,1230
697,gold,gold,110,676
698,earn,earn,32,125
699,earn,earn,33,142
700,earn,earn,32,161
701,earn,earn,32,163
702,earn,earn,33,167
703,acq,acq,69,433
704,crude,crude,291,1802
705,,NO_TOPIC,129,719
706,acq,acq,152,818
707,earn,earn,25,120
708,crude;nat-gas,crude,66,401
709,acq,acq,9,65
710,,NO_TOPIC,140,725
711,,NO_TOPIC,122,647
712,acq,acq,72,453
713,,NO_TOPIC,12,65
714,acq,acq,731,4193
715,earn,earn,115,511
716,,NO_TOPIC,111,550
717,,NO_TOPIC,171,992
718,trade,trade,339,2046
719,,NO_TOPIC,77,484
720,,NO_TOPIC,90,550
721,,NO_TOPIC,150,925
722,earn,earn,20,98
723,,NO_TOPIC,98,590
724,acq,acq,109,674
725,acq,acq,73,471
726,,NO_TOPIC,80,356
727,,NO_TOPIC,106,693
728,earn,earn,122,528
729,,NO_TOPIC,46,267
730,earn;acq,earn,498,2907
731,earn,earn,106,458
732,acq,acq,111,619
733,acq,acq,120,745
734,earn,earn,62,262
735,acq,acq,69,427
736,acq,acq,102,588
737,,NO_TOPIC,98,584
738,,NO_TOPIC,32,186
739,earn,earn,83,355
740,,NO_TOPIC,471,2792
741,acq,acq,67,405
742,grain;wheat,grain,301,1909
743,earn,earn,137,785
744,,NO_TOPIC,117,717
745,acq,acq,31,206
746,,NO_TOPIC,104,626
747,,NO_TOPIC,89,602
748,acq,acq,765,4544
749,,NO_TOPIC,321,1942
750,,NO_TOPIC,47,308
751,,NO_TOPIC,53,353
752,,NO_TOPIC,91,522
753,,NO_TOPIC,76,520
754,coffee,coffee,101,619
755,,NO_TOPIC,79,445
756,earn,earn,32,126
757,acq,acq,42,273
758,earn,earn,32,147
759,,NO_TOPIC,313,1926
760,,NO_TOPIC,0,0
761,,NO_TOPIC,71,488
762,acq,acq,98,614
763,,NO_TOPIC,50,319
764,acq,acq,48,300
765,,NO_TOPIC,109,701
766,,NO_TOPIC,92,502
767,acq,acq,60,380
768,acq,acq,307,1743
769,,NO_TOPIC,161,973
770,,NO_TOPIC,101,611
771,,NO_TOPIC,79,489
772,,NO_TOPIC,121,564
773,earn,earn,52,196
774,earn,earn,118,494
775,,NO_TOPIC,102,597
776,earn,earn,19,110
777,,NO_TOPIC,29,164
778,earn,earn,42,199
779,,NO_TOPIC,83,446
780,earn,earn,62,251
781,earn,earn,38,179
782,,NO_TOPIC,38,251
783,earn,earn,56,197
784,,NO_TOPIC,112,561
785,,NO_TOPIC,107,621
786,,NO_TOPIC,72,477
787,acq,acq,86,558
788,,NO_TOPIC,65,419
789,,NO_TOPIC,23,78
790,,NO_TOPIC,14,78
791,crude,crude,106,670
792,,NO_TOPIC,12,67
793,copper,copper,135,748
794,,NO_TOPIC,105,639
795,,NO_TOPIC,31,182
796,,NO_TOPIC,11,57
797,acq,acq,89,561
798,livestock;hog,livestock,123,776
799,,NO_TOPIC,103,608
800,copper,copper,143,829
801,,NO_TOPIC,99,585
802,,NO_TOPIC,115,638
803,,NO_TOPIC,148,802
804,,NO_TOPIC,111,641
805,,NO_TOPIC,116,659
806,,NO_TOPIC,83,479
807,,NO_TOPIC,96,564
808,,NO_TOPIC,80,450
809,,NO_TOPIC,77,480
810,,NO_TOPIC,24,163
811,earn,earn,50,285
812,,NO_TOPIC,93,495
813,,NO_TOPIC,35,205
814,,NO_TOPIC,169,946
815,,NO_TOPIC,49,354
816,copper,copper,125,675
817,earn,earn,51,283
818,earn,earn,55,209
819,,NO_TOPIC,100,595
820,acq,acq,86,539
821,,NO_TOPIC,122,736
822,,NO_TOPIC,227,1271
823,,NO_TOPIC,106,712
824,,NO_TOPIC,70,376
825,,NO_TOPIC,84,442
826,,NO_TOPIC,97,626
827,,NO_TOPIC,304,1672
828,earn,earn,19,100
829,propane;heat;gas,propane,272,1626
830,money-supply,money-supply,11,63
831,,NO_TOPIC,14,64
832,,NO_TOPIC,68,337
833,veg-oil;soy-oil;oilseed;soybean,veg-oil,250,1521
834,heat,heat,75,414
835,crude,crude,193,1162
836,acq,acq,195,1124
837,earn,earn,150,686
838,,NO_TOPIC,75,481
839,money-supply,money-supply,193,955
840,acq,acq,173,1010
841,,NO_TOPIC,136,804
842,coffee,coffee,121,741
843,gnp;trade,gnp,566,3313
844,acq,acq,129,693
845,,NO_TOPIC,79,439
846,earn,earn,55,205
847,,NO_TOPIC,92,508
848,earn,earn,58,248
849,acq,acq,62,360
850,acq,acq,86,533
851,acq,acq,116,675
852,earn,earn,147,731
853,acq,acq,361,2155
854,,NO_TOPIC,802,4848
855,grain;oat;corn;oilseed;soybean,grain,136,792
856,grain;wheat,grain,246,1498
857,ship,ship,122,712
858,,NO_TOPIC,92,614
859,earn,earn,102,438
860,,NO_TOPIC,257,1587
861,earn,earn,94,362
862,,NO_TOPIC,451,2744
863,,NO_TOPIC,115,748
864,,NO_TOPIC,134,673
865,earn,earn,45,265
866,earn,earn,23,113
867,jobs,jobs,221,1291
868,earn,earn,111,582
869,,NO_TOPIC,110,651
870,lei,lei,84,474
871,,NO_TOPIC,95,540
872,money-fx;yen;dlr,money-fx,121,661
873,crude,crude,248,1419
874,grain;wheat,grain,285,1710
875,coffee,coffee,514,3158
876,,NO_TOPIC,104,630
877,,NO_TOPIC,112,611
878,,NO_TOPIC,295,1788
879,earn,earn,13,50
880,bop,bop,293,1625
881,,NO_TOPIC,96,564
882,acq,acq,198,1178
883,earn,earn,104,465
884,rubber,rubber,80,424
885,veg-oil;palm-oil,veg-oil,95,513
886,earn,earn,14,58
887,earn,earn,161,761
888,,NO_TOPIC,298,1753
889,jobs,jobs,388,2400
890,bop,bop,85,469
891,,NO_TOPIC,326,1777
892,,NO_TOPIC,94,567
893,,NO_TOPIC,184,1176
894,trade,trade,313,1867
895,jobs,jobs,58,313
896,reserves,reserves,214,1285
897,bop,bop,93,535
898,,NO_TOPIC,588,3435
899,earn,earn,123,542
900,interest,interest,16,90
901,interest,interest,19,102
902,,NO_TOPIC,215,1291
903,money-fx,money-fx,303,1736
904,acq,acq,72,394
905,,NO_TOPIC,82,446
906,,NO_TOPIC,87,445
907,,NO_TOPIC,174,950
908,tin,tin,184,1035
909,,NO_TOPIC,86,478
910,,NO_TOPIC,263,1697
911,,NO_TOPIC,70,448
912,,NO_TOPIC,164,1023
913,money-fx;interest,money-fx,92,519
914,,NO_TOPIC,458,2785
